model,test,n_scored,n_total,q_sem,q_strict,ci_lo,ci_hi,coverage,median_wall_s
granite3.2-vision:2b,HOME-07,16,17,0.0000,0.0000,0.0000,0.0000,0.941,1.89
granite3.2-vision:2b,PERF,6,6,1.0000,1.0000,1.0000,1.0000,1.000,0.56
